订单编号,客户ID,客户名称,客户编号,客户省份,销售代表ID,下单日期,预计送货日期,实际送货日期,产品ID,产品名称,数量, 单价 ,金额
SO45299,30100,北京30100自行车销售有限公司,10-4020-000240,北京,205,1/1/15,1/13/15,1/14/15,709,公路自行车,28,2146.962,60114.936
SO45299,30100,北京30100自行车销售有限公司,10-4020-000240,北京,205,1/1/15,1/13/15,1/2/15,711,公路自行车车架,1,183.9382,183.9382
SO45299,30100,北京30100自行车销售有限公司,10-4020-000240,北京,205,1/1/15,1/13/15,1/6/15,731,帽子,3,5.1865,15.5595
SO45299,30100,北京30100自行车销售有限公司,10-4020-000240,北京,205,1/1/15,1/13/15,1/5/15,758,运动头盔,3,20.1865,60.5595
SO45299,30100,北京30100自行车销售有限公司,10-4020-000240,北京,205,1/1/15,1/13/15,1/12/15,759,长袖运动衫,2,28.8404,57.6808
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/10/15,731,帽子,3,5.1865,15.5595
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/15/15,743,山地自行车,41,2039.994,83639.754
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/5/15,745,山地自行车车架,8,818.7,6549.6
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/13/15,752,山地自行车袜子,6,5.7,34.2
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/11/15,758,运动头盔,9,20.1865,181.6785
SO45300,29624,辽宁29624自行车销售有限公司,10-4020-000278,辽宁,207,1/1/15,1/13/15,1/15/15,759,长袖运动衫,9,28.8404,259.5636
SO45301,29703,宁夏29703自行车销售有限公司,10-4020-000078,宁夏,213,1/1/15,1/13/15,1/13/15,709,公路自行车,41,2146.962,88025.442
SO45301,29703,宁夏29703自行车销售有限公司,10-4020-000078,宁夏,213,1/1/15,1/13/15,1/3/15,711,公路自行车车架,12,356.898,4282.776
SO45301,29703,宁夏29703自行车销售有限公司,10-4020-000078,宁夏,213,1/1/15,1/13/15,1/8/15,731,帽子,2,5.1865,10.373
SO45301,29703,宁夏29703自行车销售有限公司,10-4020-000078,宁夏,213,1/1/15,1/13/15,1/16/15,758,运动头盔,7,20.1865,141.3055
SO45301,29703,宁夏29703自行车销售有限公司,10-4020-000078,宁夏,213,1/1/15,1/13/15,1/6/15,759,长袖运动衫,8,28.8404,230.7232
SO45302,30091,安徽30091自行车销售有限公司,10-4020-000270,安徽,201,1/1/15,1/13/15,1/8/15,709,公路自行车,25,2146.962,53674.05
SO45303,29925,吉林29925自行车销售有限公司,10-4020-000073,吉林,207,1/1/15,1/13/15,1/16/15,731,帽子,2,5.1865,10.373
SO45303,29925,吉林29925自行车销售有限公司,10-4020-000073,吉林,207,1/1/15,1/13/15,1/4/15,743,山地自行车,10,2039.994,20399.94
SO45303,29925,吉林29925自行车销售有限公司,10-4020-000073,吉林,207,1/1/15,1/13/15,1/6/15,759,长袖运动衫,4,28.8404,115.3616
SO45304,29664,湖南29664自行车销售有限公司,10-4020-000144,湖南,210,1/1/15,1/13/15,1/16/15,743,山地自行车,10,2039.994,20399.94
SO45305,29510,广东29510自行车销售有限公司,10-4020-000569,广东,212,1/1/15,1/13/15,1/14/15,709,公路自行车,30,2146.962,64408.86
SO45305,29510,广东29510自行车销售有限公司,10-4020-000569,广东,212,1/1/15,1/13/15,1/2/15,711,公路自行车车架,5,356.898,1784.49
SO45305,29510,广东29510自行车销售有限公司,10-4020-000569,广东,212,1/1/15,1/13/15,1/13/15,731,帽子,9,5.1865,46.6785
SO45305,29510,广东29510自行车销售有限公司,10-4020-000569,广东,212,1/1/15,1/13/15,1/14/15,758,运动头盔,14,20.1865,282.611
SO45305,29510,广东29510自行车销售有限公司,10-4020-000569,广东,212,1/1/15,1/13/15,1/8/15,759,长袖运动衫,13,28.8404,374.9252
SO45306,29789,广东29789自行车销售有限公司,10-4020-000336,广东,212,1/1/15,1/13/15,1/11/15,709,公路自行车,10,874.794,8747.94
SO45306,29789,广东29789自行车销售有限公司,10-4020-000336,广东,212,1/1/15,1/13/15,1/14/15,711,公路自行车车架,3,183.9382,551.8146
SO45307,30111,天津30111自行车销售有限公司,10-4020-000346,天津,208,1/1/15,1/13/15,1/16/15,743,山地自行车,14,2039.994,28559.916
SO45307,30111,天津30111自行车销售有限公司,10-4020-000346,天津,208,1/1/15,1/13/15,1/3/15,752,山地自行车袜子,10,5.7,57
SO45307,30111,天津30111自行车销售有限公司,10-4020-000346,天津,208,1/1/15,1/13/15,1/6/15,758,运动头盔,1,20.1865,20.1865
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/10/15,731,帽子,9,5.1865,46.6785
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/13/15,743,山地自行车,36,2039.994,73439.784
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/10/15,745,山地自行车车架,16,818.7,13099.2
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/7/15,752,山地自行车袜子,6,5.7,34.2
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/5/15,758,运动头盔,8,20.1865,161.492
SO45308,29861,安徽29861自行车销售有限公司,10-4020-000623,安徽,201,1/1/15,1/13/15,1/11/15,759,长袖运动衫,19,28.8404,547.9676
SO45309,29724,广东29724自行车销售有限公司,10-4020-000684,广东,212,1/1/15,1/13/15,1/9/15,709,公路自行车,15,2146.962,32204.43
SO45309,29724,广东29724自行车销售有限公司,10-4020-000684,广东,212,1/1/15,1/13/15,1/8/15,711,公路自行车车架,7,356.898,2498.286
SO45310,29558,四川29558自行车销售有限公司,10-4020-000335,四川,214,1/1/15,1/13/15,1/16/15,743,山地自行车,7,2039.994,14279.958
SO45311,29757,重庆29757自行车销售有限公司,10-4020-000492,重庆,214,1/1/15,1/13/15,1/2/15,743,山地自行车,9,2039.994,18359.946
SO45311,29757,重庆29757自行车销售有限公司,10-4020-000492,重庆,214,1/1/15,1/13/15,1/5/15,752,山地自行车袜子,2,5.7,11.4
SO45312,29493,四川29493自行车销售有限公司,10-4020-000548,四川,214,1/1/15,1/13/15,1/13/15,709,公路自行车,1,2146.962,2146.962
SO45312,29493,四川29493自行车销售有限公司,10-4020-000548,四川,214,1/1/15,1/13/15,1/5/15,711,公路自行车车架,1,178.5808,178.5808
SO45312,29493,四川29493自行车销售有限公司,10-4020-000548,四川,214,1/1/15,1/13/15,1/16/15,758,运动头盔,1,20.1865,20.1865
SO45313,29698,江苏29698自行车销售有限公司,10-4020-000317,江苏,201,1/1/15,1/13/15,1/2/15,709,公路自行车,22,2146.962,47233.164
SO45313,29698,江苏29698自行车销售有限公司,10-4020-000317,江苏,201,1/1/15,1/13/15,1/14/15,711,公路自行车车架,8,356.898,2855.184
SO45313,29698,江苏29698自行车销售有限公司,10-4020-000317,江苏,201,1/1/15,1/13/15,1/5/15,731,帽子,4,5.1865,20.746
SO45313,29698,江苏29698自行车销售有限公司,10-4020-000317,江苏,201,1/1/15,1/13/15,1/16/15,758,运动头盔,5,20.1865,100.9325
SO45313,29698,江苏29698自行车销售有限公司,10-4020-000317,江苏,201,1/1/15,1/13/15,1/7/15,759,长袖运动衫,6,28.8404,173.0424
SO45314,29794,河北29794自行车销售有限公司,10-4020-000136,河北,208,1/1/15,1/13/15,1/15/15,709,公路自行车,20,2146.962,42939.24
SO45314,29794,河北29794自行车销售有限公司,10-4020-000136,河北,208,1/1/15,1/13/15,1/10/15,711,公路自行车车架,9,356.898,3212.082
SO45315,29515,陕西29515自行车销售有限公司,10-4020-000354,陕西,213,1/1/15,1/13/15,1/8/15,743,山地自行车,21,2039.994,42839.874
SO45315,29515,陕西29515自行车销售有限公司,10-4020-000354,陕西,213,1/1/15,1/13/15,1/8/15,745,山地自行车车架,11,818.7,9005.7
SO45315,29515,陕西29515自行车销售有限公司,10-4020-000354,陕西,213,1/1/15,1/13/15,1/15/15,752,山地自行车袜子,3,5.7,17.1
SO45316,29541,上海29541自行车销售有限公司,10-4020-000137,上海,202,1/1/15,1/13/15,1/2/15,743,山地自行车,1,2024.994,2024.994
SO45317,29716,吉林29716自行车销售有限公司,10-4020-000167,吉林,207,1/1/15,1/13/15,1/4/15,709,公路自行车,65,2146.962,139552.53
SO45317,29716,吉林29716自行车销售有限公司,10-4020-000167,吉林,207,1/1/15,1/13/15,1/16/15,731,帽子,4,5.1865,20.746
SO45318,29742,江苏29742自行车销售有限公司,10-4020-000469,江苏,201,1/1/15,1/13/15,1/10/15,731,帽子,1,5.1865,5.1865
SO45318,29742,江苏29742自行车销售有限公司,10-4020-000469,江苏,201,1/1/15,1/13/15,1/3/15,743,山地自行车,12,2039.994,24479.928
SO45318,29742,江苏29742自行车销售有限公司,10-4020-000469,江苏,201,1/1/15,1/13/15,1/14/15,745,山地自行车车架,7,818.7,5730.9
SO45318,29742,江苏29742自行车销售有限公司,10-4020-000469,江苏,201,1/1/15,1/13/15,1/11/15,758,运动头盔,7,20.1865,141.3055
SO45318,29742,江苏29742自行车销售有限公司,10-4020-000469,江苏,201,1/1/15,1/13/15,1/9/15,759,长袖运动衫,8,28.8404,230.7232
SO45319,29807,云南29807自行车销售有限公司,10-4020-000029,云南,214,1/1/15,1/13/15,1/2/15,743,山地自行车,7,2039.994,14279.958
SO45320,30004,重庆30004自行车销售有限公司,10-4020-000559,重庆,214,1/1/15,1/13/15,1/6/15,743,山地自行车,5,2039.994,10199.97
SO45320,30004,重庆30004自行车销售有限公司,10-4020-000559,重庆,214,1/1/15,1/13/15,1/2/15,752,山地自行车袜子,4,5.7,22.8
SO45321,29522,辽宁29522自行车销售有限公司,10-4020-000312,辽宁,207,1/1/15,1/13/15,1/15/15,731,帽子,4,5.1865,20.746
SO45321,29522,辽宁29522自行车销售有限公司,10-4020-000312,辽宁,207,1/1/15,1/13/15,1/2/15,743,山地自行车,30,2039.994,61199.82
SO45321,29522,辽宁29522自行车销售有限公司,10-4020-000312,辽宁,207,1/1/15,1/13/15,1/8/15,752,山地自行车袜子,19,5.225,99.275
SO45321,29522,辽宁29522自行车销售有限公司,10-4020-000312,辽宁,207,1/1/15,1/13/15,1/10/15,759,长袖运动衫,5,28.8404,144.202
SO45322,29866,辽宁29866自行车销售有限公司,10-4020-000256,辽宁,207,1/1/15,1/13/15,1/14/15,709,公路自行车,26,874.794,22744.644
SO45323,29705,四川29705自行车销售有限公司,10-4020-000084,四川,214,1/1/15,1/13/15,1/9/15,709,公路自行车,59,2146.962,126670.758
SO45323,29705,四川29705自行车销售有限公司,10-4020-000084,四川,214,1/1/15,1/13/15,1/4/15,711,公路自行车车架,11,356.898,3925.878
SO45323,29705,四川29705自行车销售有限公司,10-4020-000084,四川,214,1/1/15,1/13/15,1/4/15,731,帽子,11,5.0136,55.1496
SO45323,29705,四川29705自行车销售有限公司,10-4020-000084,四川,214,1/1/15,1/13/15,1/2/15,758,运动头盔,13,20.1865,262.4245
SO45323,29705,四川29705自行车销售有限公司,10-4020-000084,四川,214,1/1/15,1/13/15,1/5/15,759,长袖运动衫,22,28.8404,634.4888
SO45324,30012,西藏30012自行车销售有限公司,10-4020-000528,西藏,213,1/1/15,1/13/15,1/6/15,709,公路自行车,2,419.4589,838.9178
SO45325,30022,内蒙古30022自行车销售有限公司,10-4020-000313,内蒙古,208,1/1/15,1/13/15,1/9/15,709,公路自行车,4,874.794,3499.176
SO45326,29906,安徽29906自行车销售有限公司,10-4020-000364,安徽,201,1/1/15,1/13/15,1/12/15,709,公路自行车,26,2146.962,55821.012
SO45327,29880,上海29880自行车销售有限公司,10-4020-000422,上海,202,1/1/15,1/13/15,1/3/15,743,山地自行车,6,2039.994,12239.964
SO45327,29880,上海29880自行车销售有限公司,10-4020-000422,上海,202,1/1/15,1/13/15,1/13/15,752,山地自行车袜子,2,5.7,11.4
SO45328,29901,河北29901自行车销售有限公司,10-4020-000385,河北,208,1/1/15,1/13/15,1/9/15,731,帽子,5,5.1865,25.9325
SO45328,29901,河北29901自行车销售有限公司,10-4020-000385,河北,208,1/1/15,1/13/15,1/10/15,743,山地自行车,31,2039.994,63239.814
SO45328,29901,河北29901自行车销售有限公司,10-4020-000385,河北,208,1/1/15,1/13/15,1/5/15,752,山地自行车袜子,10,5.7,57
SO45328,29901,河北29901自行车销售有限公司,10-4020-000385,河北,208,1/1/15,1/13/15,1/14/15,759,长袖运动衫,5,28.8404,144.202
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/10/15,731,帽子,4,5.1865,20.746
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/13/15,743,山地自行车,28,2039.994,57119.832
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/6/15,745,山地自行车车架,6,818.7,4912.2
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/12/15,752,山地自行车袜子,1,5.7,5.7
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/5/15,758,运动头盔,5,20.1865,100.9325
SO45329,29507,上海29507自行车销售有限公司,10-4020-000566,上海,202,1/1/15,1/13/15,1/4/15,759,长袖运动衫,8,28.8404,230.7232
SO45330,29968,江苏29968自行车销售有限公司,10-4020-000063,江苏,201,1/1/15,1/13/15,1/9/15,752,山地自行车袜子,2,5.7,11.4
SO45330,29968,江苏29968自行车销售有限公司,10-4020-000063,江苏,201,1/1/15,1/13/15,1/15/15,759,长袖运动衫,2,28.8404,57.6808
SO45331,29846,北京29846自行车销售有限公司,10-4020-000612,北京,205,1/1/15,1/13/15,1/2/15,709,公路自行车,25,2146.962,53674.05
SO45331,29846,北京29846自行车销售有限公司,10-4020-000612,北京,205,1/1/15,1/13/15,1/7/15,758,运动头盔,1,20.1865,20.1865
SO45332,30095,湖南30095自行车销售有限公司,10-4020-000255,湖南,210,1/1/15,1/13/15,1/14/15,709,公路自行车,27,2146.962,57967.974
SO45333,29731,江西29731自行车销售有限公司,10-4020-000432,江西,203,1/1/15,1/13/15,1/12/15,709,公路自行车,4,2146.962,8587.848
SO45333,29731,江西29731自行车销售有限公司,10-4020-000432,江西,203,1/1/15,1/13/15,1/3/15,711,公路自行车车架,2,183.9382,367.8764
SO45334,29523,湖北29523自行车销售有限公司,10-4020-000309,湖北,203,1/1/15,1/13/15,1/8/15,731,帽子,1,5.1865,5.1865
SO45334,29523,湖北29523自行车销售有限公司,10-4020-000309,湖北,203,1/1/15,1/13/15,1/3/15,743,山地自行车,25,2039.994,50999.85
SO45334,29523,湖北29523自行车销售有限公司,10-4020-000309,湖北,203,1/1/15,1/13/15,1/4/15,752,山地自行车袜子,4,5.7,22.8
SO45334,29523,湖北29523自行车销售有限公司,10-4020-000309,湖北,203,1/1/15,1/13/15,1/15/15,758,运动头盔,2,20.1865,40.373
SO45334,29523,湖北29523自行车销售有限公司,10-4020-000309,湖北,203,1/1/15,1/13/15,1/11/15,759,长袖运动衫,5,28.8404,144.202
SO45335,29791,河北29791自行车销售有限公司,10-4020-000342,河北,208,1/1/15,1/13/15,1/11/15,709,公路自行车,19,2146.962,40792.278
SO45335,29791,河北29791自行车销售有限公司,10-4020-000342,河北,208,1/1/15,1/13/15,1/2/15,711,公路自行车车架,2,183.9382,367.8764
SO45335,29791,河北29791自行车销售有限公司,10-4020-000342,河北,208,1/1/15,1/13/15,1/5/15,731,帽子,5,5.1865,25.9325
SO45335,29791,河北29791自行车销售有限公司,10-4020-000342,河北,208,1/1/15,1/13/15,1/7/15,758,运动头盔,7,20.1865,141.3055
SO45335,29791,河北29791自行车销售有限公司,10-4020-000342,河北,208,1/1/15,1/13/15,1/3/15,759,长袖运动衫,6,28.8404,173.0424
SO45336,29787,湖南29787自行车销售有限公司,10-4020-000326,湖南,210,1/1/15,1/13/15,1/8/15,743,山地自行车,12,2039.994,24479.928
SO45336,29787,湖南29787自行车销售有限公司,10-4020-000326,湖南,210,1/1/15,1/13/15,1/6/15,745,山地自行车车架,4,722.5949,2890.3796
SO45336,29787,湖南29787自行车销售有限公司,10-4020-000326,湖南,210,1/1/15,1/13/15,1/10/15,752,山地自行车袜子,3,5.7,17.1
SO45337,29963,福建29963自行车销售有限公司,10-4020-000045,福建,211,1/1/15,1/13/15,1/4/15,709,公路自行车,20,2146.962,42939.24
SO45337,29963,福建29963自行车销售有限公司,10-4020-000045,福建,211,1/1/15,1/13/15,1/9/15,711,公路自行车车架,7,183.9382,1287.5674
SO45338,29617,甘肃29617自行车销售有限公司,10-4020-000433,甘肃,213,1/1/15,1/13/15,1/12/15,709,公路自行车,56,2146.962,120229.872
SO45339,29853,湖南29853自行车销售有限公司,10-4020-000403,湖南,210,1/1/15,1/13/15,1/4/15,709,公路自行车,28,2146.962,60114.936
SO45339,29853,湖南29853自行车销售有限公司,10-4020-000403,湖南,210,1/1/15,1/13/15,1/8/15,711,公路自行车车架,3,183.9382,551.8146
SO45339,29853,湖南29853自行车销售有限公司,10-4020-000403,湖南,210,1/1/15,1/13/15,1/4/15,731,帽子,3,5.1865,15.5595
SO45339,29853,湖南29853自行车销售有限公司,10-4020-000403,湖南,210,1/1/15,1/13/15,1/16/15,758,运动头盔,1,20.1865,20.1865
SO45339,29853,湖南29853自行车销售有限公司,10-4020-000403,湖南,210,1/1/15,1/13/15,1/11/15,759,长袖运动衫,2,28.8404,57.6808
SO45340,29756,广西29756自行车销售有限公司,10-4020-000495,广西,209,1/1/15,1/13/15,1/15/15,709,公路自行车,5,874.794,4373.97
SO45341,29774,湖南29774自行车销售有限公司,10-4020-000040,湖南,210,1/1/15,1/13/15,1/2/15,731,帽子,3,5.1865,15.5595
SO45341,29774,湖南29774自行车销售有限公司,10-4020-000040,湖南,210,1/1/15,1/13/15,1/15/15,743,山地自行车,17,2039.994,34679.898
